TRANSACTION_ID,ACCOUNT_NUMBER,AMOUNT,TRANSACTION_TYPE,TXN_DATE,STATUS,BANK_NAME
TXN000101,ACC000716,58838.95,debit,2026-03-31,success,HDFC
TXN000102,ACC000544,23289.67,credit,2026-03-31,success,ICICI
TXN000103,ACC000810,51200.85,debit,2026-03-31,success,AXIS
TXN000104,ACC000216,63545.37,credit,2026-03-31,failed,KOTAK
TXN000105,ACC000902,36733.63,debit,2026-03-31,success,SBI
TXN000106,ACC000688,2136.55,credit,2026-03-31,success,HDFC
TXN000107,ACC000751,63767.22,debit,2026-03-31,success,ICICI
TXN000108,ACC000496,67807.04,credit,2026-03-31,failed,AXIS
TXN000109,ACC000558,40689.73,debit,2026-03-31,success,KOTAK
TXN000110,ACC000148,93713.13,credit,2026-03-31,success,SBI
TXN000111,ACC000485,17309.63,debit,2026-03-31,success,HDFC
TXN000112,ACC000361,46539.04,credit,2026-03-31,failed,ICICI
TXN000113,ACC000802,83587.0,debit,2026-03-31,success,AXIS
TXN000114,ACC000563,95020.16,credit,2026-03-31,success,KOTAK
TXN000115,ACC000698,80071.78,debit,2026-03-31,success,SBI
TXN000116,ACC000851,89090.34,credit,2026-03-31,failed,HDFC
TXN000117,ACC000057,37578.99,debit,2026-03-31,success,ICICI
TXN000118,ACC000413,3756.12,credit,2026-03-31,success,AXIS
TXN000119,ACC000274,30352.54,debit,2026-03-31,success,KOTAK
TXN000120,ACC000296,86400.06,credit,2026-03-31,failed,SBI
TXN000121,ACC000255,39339.77,debit,2026-03-31,success,HDFC
TXN000122,ACC000245,1973.39,credit,2026-03-31,success,ICICI
TXN000123,ACC000692,99262.53,debit,2026-03-31,success,AXIS
TXN000124,ACC000388,61306.63,credit,2026-03-31,failed,KOTAK
TXN000125,ACC000602,20184.99,debit,2026-03-31,success,SBI
TXN000126,ACC000949,15069.31,credit,2026-03-31,success,HDFC
TXN000127,ACC000123,84808.3,debit,2026-03-31,success,ICICI
TXN000128,ACC000557,51918.97,credit,2026-03-31,failed,AXIS
TXN000129,ACC000424,10722.6,debit,2026-03-31,success,KOTAK
TXN000130,ACC000183,50940.71,credit,2026-03-31,success,SBI
TXN000131,ACC000312,6758.65,debit,2026-03-31,success,HDFC
TXN000132,ACC000526,95877.5,credit,2026-03-31,failed,ICICI
TXN000133,ACC000742,10228.78,debit,2026-03-31,success,AXIS
TXN000134,ACC000057,2657.38,credit,2026-03-31,success,KOTAK
TXN000135,ACC000940,79168.2,debit,2026-03-31,success,SBI
